Wall time,Step,Value
1767353129.84405,1127,1128.0
1767353130.7255778,1970,843.0
1767353132.837612,4004,963.0
1767353135.3547583,6417,1289.0
1767353136.465363,7449,1032.0
1767353137.4171293,8274,825.0
1767353138.2717261,9066,792.0
1767353139.169173,9887,821.0
1767353141.3273816,10908,1021.0
1767353143.3884156,11970,1062.0
1767353145.0039568,12781,811.0
1767353147.140608,13827,1046.0
1767353149.2166574,14865,1038.0
1767353151.2846546,15871,1006.0
1767353153.2693577,16879,1008.0
1767353154.920391,17721,842.0
1767353156.5456557,18513,792.0
1767353158.2854965,19357,844.0
1767353160.1165676,20291,934.0
1767353161.9602644,21212,921.0
1767353163.9641545,22156,944.0
1767353166.045057,23192,1036.0
1767353167.9773967,24136,944.0
1767353169.696732,24960,824.0
1767353173.7655518,26921,1050.0
1767353179.505497,29760,879.0
1767353181.9951708,30929,1169.0
1767353183.909333,31810,881.0
1767353185.8810134,32713,903.0
1767353187.930325,33634,921.0
1767353191.5741215,35368,792.0
1767353193.5378428,36267,899.0
1767353195.4343548,37139,872.0
1767353197.2156136,37941,802.0
1767353199.514117,38977,1036.0
1767353203.652462,40830,981.0
1767353205.690563,41760,930.0
1767353207.8375278,42734,974.0
1767353210.0375688,43728,994.0
1767353211.8567998,44549,821.0
1767353213.7191756,45387,838.0
1767353217.790587,47218,959.0
1767353219.7142785,48088,870.0
1767353223.7024093,49863,932.0
1767353225.436461,50655,792.0
1767353227.5211244,51598,943.0
1767353230.3526456,52871,1273.0
1767353232.4697566,53820,949.0
1767353234.3774848,54672,852.0
1767353238.5044794,56518,912.0
1767353240.213662,57282,764.0
1767353242.1348104,58150,868.0
1767353244.0467963,58992,842.0
1767353246.3057857,60003,1011.0
1767353248.2080393,60857,854.0
1767353250.4681337,61865,1008.0
1767353252.5923936,62871,1006.0
1767353254.4458714,63723,852.0
1767353256.3053355,64575,852.0
1767353257.9961824,65339,764.0
1767353262.1677082,67218,1067.0
1767353264.1416717,68098,880.0
1767353266.0955577,68967,869.0
1767353268.4196532,70013,1046.0
1767353272.4839165,71828,935.0
1767353274.889225,72897,1069.0
1767353277.2098675,73936,1039.0
1767353279.3340802,74876,940.0
1767353283.0966094,76543,843.0
1767353285.0302699,77398,855.0
1767353289.190267,79247,1025.0
1767353291.0424216,80071,824.0
1767353292.7410078,80835,764.0
1767353294.4467804,81599,764.0
1767353296.3977833,82458,859.0
1767353298.1233969,83222,764.0
1767353301.9659636,84910,783.0
1767353304.2528222,85895,985.0
1767353306.5309753,86880,985.0
1767353308.5230072,87760,880.0
1767353310.430061,88584,824.0
1767353312.253564,89367,783.0
1767353314.3198953,90269,902.0
